Position,Short_Name,Full_Name,Country,To_Par,Thru,Today,R1,R2,R3,R4,Total
T1,D. Riley,Davis Riley,,E,1,E,-,10:48 AM,-,-,-
T1,J. Vegas,Jhonattan Vegas,,E,1,E,-,10:59 AM,-,-,-
T3,P. Kizzire,Patton Kizzire,,+1,1,+1,-,10:48 AM,-,-,-
T3,N. Hojgaard,Nicolai Hojgaard,,+1,1,+1,-,10:59 AM,-,-,-
T3,K. Yu,Kevin Yu,,+1,1,+1,-,10:59 AM,-,-,-
-,M. Weir,Mike Weir,,-,-,8:02 AM,-,11:10 AM,-,-,-
-,M. Kim,Michael Kim,,-,-,8:02 AM,-,11:10 AM,-,-,-
-,C. Young,Cameron Young,,-,-,8:02 AM,-,11:10 AM,-,-,-
-,Z. Johnson,Zach Johnson,,-,-,8:13 AM,-,11:21 AM,-,-,-
-,J. Highsmith,Joe Highsmith,,-,-,8:13 AM,-,11:21 AM,-,-,-
-,C. Kirk,Chris Kirk,,-,-,8:13 AM,-,11:21 AM,-,-,-
-,D. Willett,Danny Willett,,-,-,8:24 AM,-,11:38 AM,-,-,-
-,D. Thompson,Davis Thompson,,-,-,8:24 AM,-,11:38 AM,-,-,-
-,N. Echavarria,Nico Echavarria,,-,-,8:24 AM,-,11:38 AM,-,-,-
-,N. Kent,Noah Kent(a),,-,-,8:35 AM,-,11:49 AM,-,-,-
-,B. Langer,Bernhard Langer,,-,-,8:35 AM,-,11:49 AM,-,-,-
-,W. Zalatoris,Will Zalatoris,,-,-,8:35 AM,-,11:49 AM,-,-,-
-,J. Poston,J.T. Poston,,-,-,8:52 AM,-,12:00 PM,-,-,-
-,A. Rai,Aaron Rai,,-,-,8:52 AM,-,12:00 PM,-,-,-
-,C. Smith,Cameron Smith,,-,-,8:52 AM,-,12:00 PM,-,-,-
-,F. Couples,Fred Couples,,-,-,9:03 AM,-,12:11 PM,-,-,-
-,H. English,Harris English,,-,-,9:03 AM,-,12:11 PM,-,-,-
